Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
107	227	0	0.758212067	26.1083545	26.1309359	25.4730509	26.7732752	1.30022422	0	0	0	0	0	3
108	229	0	0.765298161	26.1292703	26.1401784	25.5860136	26.7732752	1.1872616	0	0	0	0	0	3
109	231	0	0.772384255	26.0865774	26.1472286	25.6332247	26.7732752	1.14005042	0	0	0	0	0	3
110	233	0	0.779470349	26.1102742	26.1539476	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
111	235	0	0.786556443	26.0684189	26.1580006	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
112	237	0	0.793642537	26.0931274	26.1612548	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
113	239	0	0.800728631	26.0582275	26.1613809	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
114	241	0	0.807814725	26.0860791	26.1601961	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
115	243	0	0.81490082	26.0511944	26.1558777	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
116	245	0	0.821986914	26.0770007	26.1505994	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
117	247	0	0.829073008	26.0471597	26.1429276	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
118	248	0	0.836159102	26.0823104	26.1352047	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
119	250	0	0.843245196	26.0613247	26.1259417	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
120	252	0	0.85033129	26.0961207	26.1174092	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
121	254	0	0.857417384	26.0745477	26.1078478	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
122	256	0	0.864503478	26.0963175	26.0989327	25.6605101	26.7732752	1.11276504	0	0	0	0	0	3
123	258	0	0.871589572	26.0594697	26.0888791	25.6605101	26.757087	1.09657692	0	0	0	0	0	3
124	260	0	0.878675666	26.0794666	26.0796558	25.6605101	26.757087	1.09657692	0	0	0	0	0	3
125	262	0	0.88576176	26.0501236	26.0696985	25.6605101	26.6883965	1.02788634	0	0	0	0	0	3
126	264	0	0.892847854	26.0742357	26.0610484	25.6605101	26.6830413	1.02253113	0	0	0	0	0	3
127	266	0	0.899933949	26.0487972	26.0521154	25.6605101	26.5846927	0.924182594	0	0	0	0	0	3
128	268	0	0.907020043	26.065324	26.0448003	25.6605101	26.5621084	0.901598311	0	0	0	0	0	3
129	270	0	0.914106137	26.0341535	26.0373643	25.6605101	26.464185	0.803674906	0	0	0	0	0	3
130	271	0	0.921192231	26.0451229	26.031462	25.6605101	26.4395218	0.77901172	0	0	0	0	0	3
131	273	0	0.928278325	26.0087527	26.0253949	25.6605101	26.3378562	0.677346027	0	0	0	0	0	3
132	275	0	0.935364419	26.0203771	26.0209233	25.6605101	26.3200094	0.659499237	0	0	0	0	0	3
133	277	0	0.942450513	25.9893427	26.0162661	25.6605101	26.2182062	0.557696073	0	0	0	0	0	3
134	279	0	0.949536607	26.0106604	26.0133429	25.6605101	26.1996721	0.539162012	0	0	0	0	0	3
