Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
91	194	0	0.644834562	293.199982	293.199993	293.199949	293.200103	9.19284637e-05	0	0	0	0	0	3
92	196	0	0.651920656	293.199981	293.199991	293.199949	293.200103	9.35853861e-05	0	0	0	0	0	3
93	198	0	0.65900675	293.199981	293.199989	293.199949	293.200103	9.52913684e-05	0	0	0	0	0	3
94	200	0	0.666092844	293.19998	293.199987	293.199949	293.200102	9.7024565e-05	0	0	0	0	0	3
95	201	0	0.673178938	293.199979	293.199986	293.199949	293.2001	9.87591947e-05	0	0	0	0	0	3
96	203	0	0.680265032	293.199978	293.199984	293.199949	293.200094	0.000100469507	0	0	0	0	0	3
97	205	0	0.687351126	293.199978	293.199982	293.199949	293.200085	0.000102099359	0	0	0	0	0	3
98	207	0	0.69443722	293.199978	293.199981	293.199949	293.200074	0.000103247904	0	0	0	0	0	3
99	209	0	0.701523314	293.199978	293.19998	293.199949	293.200063	0.000103881801	0	0	0	0	0	3
100	211	0	0.708609408	293.199978	293.199978	293.199949	293.200052	0.000102872681	0	0	0	0	0	3
101	216	0	0.715695502	293.199978	293.199977	293.199949	293.200036	8.75110782e-05	0	0	0	0	0	3
102	218	0	0.722781596	293.199978	293.199976	293.199949	293.200023	7.45687412e-05	0	0	0	0	0	3
103	220	0	0.729867691	293.199978	293.199976	293.199949	293.200013	6.42374603e-05	0	0	0	0	0	3
104	222	0	0.736953785	293.199979	293.199975	293.199949	293.200005	5.60116222e-05	0	0	0	0	0	3
105	224	0	0.744039879	293.199979	293.199975	293.199949	293.199998	4.96573898e-05	0	0	0	0	0	3
106	225	0	0.751125973	293.199979	293.199975	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
107	227	0	0.758212067	293.19998	293.199975	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
108	229	0	0.765298161	293.19998	293.199974	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
109	231	0	0.772384255	293.199981	293.199974	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
110	233	0	0.779470349	293.199981	293.199974	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
111	235	0	0.786556443	293.199981	293.199975	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
112	237	0	0.793642537	293.199981	293.199975	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
113	239	0	0.800728631	293.199982	293.199975	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
114	241	0	0.807814725	293.199982	293.199975	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
115	243	0	0.81490082	293.199982	293.199975	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
116	245	0	0.821986914	293.199983	293.199976	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
117	247	0	0.829073008	293.199983	293.199976	293.199949	293.199992	4.3189077e-05	0	0	0	0	0	3
