Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
106	225	0	0.751125973	4.73927535	4.7263875	4.64066448	4.75587336	0.115208884	0	0	0	0	0	3
107	227	0	0.758212067	4.74068789	4.72754193	4.64066448	4.75587336	0.115208884	0	0	0	0	0	3
108	229	0	0.765298161	4.73940464	4.72870212	4.64066448	4.75587336	0.115208884	0	0	0	0	0	3
109	231	0	0.772384255	4.739262	4.73002952	4.64066448	4.75587336	0.115208884	0	0	0	0	0	3
110	233	0	0.779470349	4.73710219	4.73130529	4.64066448	4.75587336	0.115208884	0	0	0	0	0	3
111	235	0	0.786556443	4.73596558	4.73264756	4.6548452	4.75587336	0.101028168	0	0	0	0	0	3
112	237	0	0.793642537	4.73440688	4.73376814	4.67085743	4.75587336	0.0850159329	0	0	0	0	0	3
113	239	0	0.800728631	4.7347333	4.7346678	4.69090828	4.75587336	0.0649650873	0	0	0	0	0	3
114	241	0	0.807814725	4.73385753	4.73527272	4.70343517	4.75587336	0.0524381941	0	0	0	0	0	3
115	243	0	0.81490082	4.73408579	4.73570442	4.7065694	4.75587336	0.0493039658	0	0	0	0	0	3
116	245	0	0.821986914	4.73490686	4.73598613	4.7065694	4.75587336	0.0493039658	0	0	0	0	0	3
117	247	0	0.829073008	4.73825843	4.73625694	4.7065694	4.75587336	0.0493039658	0	0	0	0	0	3
118	248	0	0.836159102	4.74196603	4.73647264	4.7065694	4.75587336	0.0493039658	0	0	0	0	0	3
119	250	0	0.843245196	4.74749518	4.73672409	4.7065694	4.75587336	0.0493039658	0	0	0	0	0	3
120	252	0	0.85033129	4.7502298	4.73697557	4.7065694	4.75587336	0.0493039658	0	0	0	0	0	3
121	254	0	0.857417384	4.75404392	4.73728352	4.7065694	4.75587336	0.0493039658	0	0	0	0	0	3
122	256	0	0.864503478	4.75258414	4.73753388	4.7065694	4.75587336	0.0493039658	0	0	0	0	0	3
123	258	0	0.871589572	4.75346486	4.73778227	4.7065694	4.75587336	0.0493039658	0	0	0	0	0	3
124	260	0	0.878675666	4.75388471	4.73797762	4.7065694	4.75587336	0.0493039658	0	0	0	0	0	3
125	262	0	0.88576176	4.75657472	4.73821343	4.7065694	4.75657472	0.0500053187	0	0	0	0	0	3
126	264	0	0.892847854	4.75741837	4.7384692	4.7065694	4.75741837	0.0508489769	0	0	0	0	0	3
127	266	0	0.899933949	4.75953587	4.7387758	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
128	268	0	0.907020043	4.75734146	4.73905594	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
129	270	0	0.914106137	4.75774115	4.73934012	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
130	271	0	0.921192231	4.75407501	4.7395033	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
131	273	0	0.928278325	4.75378501	4.73963829	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
132	275	0	0.935364419	4.75203088	4.73971343	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
133	277	0	0.942450513	4.75326509	4.73983679	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
134	279	0	0.949536607	4.75254606	4.73996288	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
135	281	0	0.956622701	4.75195436	4.74013785	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
136	283	0	0.963708795	4.74867395	4.74025178	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
137	285	0	0.970794889	4.74481945	4.7403497	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
138	287	0	0.977880983	4.74025927	4.74034693	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
139	289	0	0.984967078	4.73844365	4.74034892	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
140	291	0	0.992053172	4.73801775	4.74034172	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
141	293	0	0.999139266	4.73835558	4.7403775	4.7065694	4.75953587	0.0529664707	0	0	0	0	0	3
142	295	0	1.00622536	4.73680621	4.74040261	4.7065694	4.75953587	0.0529664707	1.13709634	0	100	0	0	3
143	296	0	1.01331145	4.73689497	4.74050535	4.7065694	4.75953587	0.0529664707	1.13709634	0	100	0	0	3
144	298	0	1.02039755	4.73544675	4.74063329	4.7065694	4.75953587	0.0529664707	1.13709634	0	100	0	0	3
145	300	0	1.02748364	4.73588889	4.74087428	4.7065694	4.75953587	0.0529664707	1.13709634	0	100	0	0	3
146	302	0	1.03456974	4.73658363	4.74119205	4.7065694	4.75953587	0.0529664707	1.13709634	0	100	0	0	3
147	304	0	1.04165583	4.73812729	4.74163081	4.7065694	4.75953587	0.0529664707	1.13709634	0	100	0	0	3
148	306	0	1.04874192	4.73738059	4.74206477	4.7069063	4.75953587	0.0526295701	1.13709634	0	100	0	0	3
149	308	0	1.05582802	4.73889266	4.74251529	4.71192258	4.75953587	0.0476132917	1.13709634	0	100	0	0	3
150	310	0	1.06291411	4.7368129	4.74286585	4.7145055	4.75953587	0.0450303631	1.13709634	0	100	0	0	3
151	312	0	1.07000021	4.73681484	4.74318007	4.7161132	4.75953587	0.0434226706	1.13709634	0	100	0	0	3
152	314	0	1.0770863	4.73427687	4.74341285	4.7161132	4.75953587	0.0434226706	1.13709634	0	100	0	0	3
153	316	0	1.08417239	4.73540198	4.74368452	4.72046087	4.75953587	0.0390749952	1.13709634	0	100	0	0	3
154	318	0	1.09125849	4.73530888	4.74389365	4.72270249	4.75953587	0.0368333772	1.13709634	0	100	0	0	3
155	319	0	1.09834458	4.737103	4.74409647	4.73061077	4.75953587	0.0289250966	1.13709634	0	100	0	0	3
156	321	0	1.10543068	4.73915854	4.74421686	4.73357922	4.75953587	0.0259566494	1.13709634	0	100	0	0	3
157	323	0	1.11251677	4.74156805	4.74432938	4.73385753	4.75953587	0.0256783421	1.13709634	0	100	0	0	3
158	325	0	1.11960287	4.74077629	4.74433444	4.73385753	4.75953587	0.0256783421	1.13709634	0	100	0	0	3
159	327	0	1.12668896	4.74147496	4.7443305	4.73385753	4.75953587	0.0256783421	1.13709634	0	100	0	0	3
160	329	0	1.13377505	4.7387354	4.74422878	4.73385753	4.75953587	0.0213846622	1.13709634	0	100	0	0	3
161	331	0	1.14086115	4.73985176	4.74412439	4.73385753	4.75953587	0.0213846622	1.13709634	0	100	0	0	3
162	333	0	1.14794724	4.73823223	4.74393925	4.73385753	4.75953587	0.0213846622	1.13709634	0	100	0	0	3
163	335	0	1.15503334	4.73999605	4.74375049	4.73385753	4.75953587	0.0213846622	1.13709634	0	100	0	0	3
164	336	0	1.16211943	4.73870946	4.74350875	4.73385753	4.75953587	0.0213846622	1.13709634	0	100	0	0	3
165	338	0	1.16920552	4.73897972	4.74329479	4.73385753	4.75953587	0.0213846622	1.13709634	0	100	0	0	3
166	340	0	1.17629162	4.73707185	4.74306373	4.73385753	4.75953587	0.0213846622	1.13709634	0	100	0	0	3
167	342	0	1.18337771	4.73594823	4.74287571	4.73385753	4.75953587	0.0213846622	1.13709634	0	100	0	0	3
168	344	0	1.19046381	4.7343979	4.7426883	4.73385753	4.75953587	0.0213846622	1.13709634	0	100	0	0	3
169	346	0	1.1975499	4.73457787	4.74252878	4.73385753	4.75953587	0.0213846622	1.13709634	0	100	0	0	3
170	348	0	1.20463599	4.73428029	4.74233452	4.73385753	4.75953587	0.0213846622	1.13709634	0	100	0	0	3
171	350	0	1.21172209	4.73565167	4.74215361	4.73385753	4.75953587	0.0212100395	1.13709634	0	100	0	0	3
172	352	0	1.21880818	4.73371264	4.74193537	4.73371264	4.75953587	0.0210874734	1.13709634	0	100	0	0	3
173	354	0	1.22589428	4.73363883	4.74174997	4.73363883	4.75953587	0.0205083605	1.13709634	0	100	0	0	3
174	356	0	1.23298037	4.72940396	4.74153657	4.72940396	4.75953587	0.0198852512	1.13709634	0	100	0	0	3
175	358	0	1.24006646	4.72977246	4.74138688	4.72940396	4.75953587	0.0188960132	1.13709634	0	100	0	0	3
176	363	0	1.24715256	4.72710574	4.74120051	4.72710574	4.75953587	0.0179469447	1.13709634	0	100	0	0	3
177	369	0	1.25423865	4.72994163	4.74106905	4.72710574	4.75953587	0.0167925069	1.13709634	0	100	0	0	3
178	374	0	1.26132475	4.72903488	4.74090492	4.72710574	4.75953587	0.0156323202	1.13709634	0	100	0	0	3
179	381	0	1.26841084	4.73188159	4.74079896	4.72710574	4.75953587	0.0143049168	1.13709634	0	100	0	0	3
180	388	0	1.27549693	4.72870654	4.74065029	4.72710574	4.75953587	0.0130291516	1.13709634	0	100	0	0	3
181	394	0	1.28258303	4.73094626	4.74056359	4.72710574	4.75953587	0.0116868825	1.13709634	0	100	0	0	3
182	400	0	1.28966912	4.72580533	4.74042049	4.72580533	4.75953587	0.0105662955	1.13709634	0	100	0	0	3
183	407	0	1.29675522	4.72811281	4.74033184	4.72580533	4.75953587	0.0096666354	1.13709634	0	100	0	0	3
184	414	0	1.30384131	4.72458432	4.7401889	4.72458432	4.75953587	0.00906171638	1.13709634	0	100	0	0	3
185	421	0	1.31092741	4.7282923	4.74011051	4.72458432	4.75953587	0.00863001747	1.13709634	0	100	0	0	3
